Time	P1_pad	P3b_pad	P3a_pad	P1_cup	P2_cup	P3_cup	P1_green	P2_green	P3_green	P1_pink	P2_pink	P3_pink	P1_ripe	P2_ripe	P3_ripe	null1	null2	null3
K00001	9.49	11.65	204.2	9.97	14.1	0	8.67	5.49	6.41	9.56	15.61	8.09	16.78	10.48	10.72	0	0	0
K00006	10.84	18.52	21.44	23.17	6.7	12.16	6.01	13.72	10.23	2.1	3.06	41.93	10.16	13.82	24.41	0	0	0
K00008	86.21	83.17	80.34	97.7	87.25	87	139.72	239.07	270.12	160.86	197.94	174.92	83.25	118.86	154.27	0	0	0
K00011	11.19	74.86	0	0	86.94	108.48	86.16	67.3	73.67	127.17	122.52	122.61	0	137.98	124.85	0	0	0
K00012	160.97	167.98	174.59	280.18	0	268.5	0	285.49	159.56	190.7	259.01	260.87	67.46	286.04	233.7	0	0	0
K00013	32.53	0	0	0	0	29.37	0	19.54	23.3	26.94	0	24.28	23.48	23.14	42.34	0	0	0
K00014	10.26	0	10.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00019	0	0	8.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00020	9.05	9.58	4.91	0	8.26	6.55	6.41	4.15	6.26	3.17	3.53	3.02	0	2.83	3.44	0	0	0
K00021	15.66	10.5	66.5	5.74	243.88	39	43.78	50.36	4.82	226.6	174.38	166.7	1297.25	210.65	344.45	0	0	0
K00024	0	0	42.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00025	522.33	501.63	510.5	986.45	630.46	626.8	900.2	390.74	826.42	471.82	487.4	402.36	0	515.38	435.33	0	0	0
K00026	74.1	78.48	77.42	71.9	76.44	77.01	49.73	58.64	85.06	311.4	165.45	77.38	161.59	270.16	176.23	0	0	0
K00028	34.09	34.37	33.39	37.45	42.31	44.73	44.73	81.83	36.13	21.49	23.62	22.18	14.65	21.45	22.51	0	0	0
K00029	456.28	541.59	460.44	804.05	715.52	569.25	1049.9	882.28	34.2	762.64	788.42	756.15	963.63	730.33	565.91	0	0	0
K00030	85.29	85.68	88.51	73.2	69.2	61.55	166.36	153.68	73.11	95.24	93.8	96.06	103.72	135.2	94.2	0	0	0
K00031	22.03	151.64	75.76	18.07	185.52	19.02	185.99	23.64	162.73	18.08	18.79	18.69	269.59	17.52	55.79	0	0	0
K00033	54.48	144.23	58.01	54.81	167.81	66.76	82.86	61.49	148.93	86.77	75.3	67.57	113.06	85.59	86.47	0	0	0
K00036	33.3	30.2	34.67	66.84	28.87	28.12	110.68	60.53	76.06	75.98	16.87	19.82	72.69	12.54	71.94	0	0	0
K00046	0	0	45.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00051	256.56	247.02	254.18	150.53	139.32	138.86	120.95	48.48	0	59.05	50.6	76.52	33.11	46.72	57.54	0	0	0
K00052	74.32	76.65	76.82	73.97	77.69	78.07	178.68	43.76	54.76	36.11	33.05	0	28.46	54.69	36.29	0	0	0
K00053	279.28	376.6	261.93	376.8	278.37	0	319.87	284.58	0	263.77	217.69	214.76	212.52	258.66	283.96	0	0	0
K00058	57.16	65.3	66.6	124.59	221.04	128.72	173.4	78.84	189.86	113.95	102.91	106.39	65.66	104.28	109.53	0	0	0
K00059	61.92	33.06	77.8	60.65	42.41	10.72	11.94	63.4	77.99	41.28	43.47	122.22	28.85	39.67	47.5	0	0	0
K00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074	0	0	24.09	30.09	25.08	22.12	24.1	16.27	18.99	17.65	14.08	17.49	0	24.27	13.92	0	0	0
K00079	0	8.64	0	5.81	8.11	26.68	0	7.61	7.19	18.86	0	0	15.03	7.55	5.2	0	0	0
K00083	97.45	139.41	122.07	19.79	105.07	14.08	312.83	125.72	172.9	49.18	53.82	56.82	123.53	36.06	3.97	0	0	0
K00084	10.06	0	10.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00085	79.85	0	75.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00088	0	0	0	112.42	0	171.88	0	126.72	44.48	82.35	134.73	67.34	27.23	0	0	0	0	0
K00099	0	0	55.6	75.29	96.93	79.44	0	32.82	63.29	26.37	0	0	29.69	24.3	28.93	0	0	0
K00102	48.34	52.68	0	50.03	36.42	42.98	35.96	22.09	46.51	36.08	33.25	29.46	48.83	29.49	28.18	0	0	0
K00106	18.55	0	0	0	0	0	0	0	22.05	0	0	30.28	0	0	0	0	0	0
K00108	4.37	128.89	0	0	114.68	0	57.92	54.04	38.46	4.97	94.24	3.7	12.07	150.3	120.39	0	0	0
K00111	21.76	21.98	31.85	0	27.17	29.09	25.61	16.7	17.29	83.15	0	68.25	0	59.4	0	0	0	0
K00121	116.81	9.8	52.96	85.98	18.02	54.82	10.51	5.87	11.26	4.04	8.91	4.28	121.82	80.03	85.5	0	0	0
K00122	128.98	153.93	157.34	294.7	0	186.24	159.46	0	223.74	0	0	346.05	406.91	219.56	335.2	0	0	0
K00128	36.02	32.51	251.13	25.99	40.94	36.14	32.93	16.51	21.73	16.47	40.83	11.37	2026.53	44.48	13.42	0	0	0
K00130	100.92	117.09	106.47	105.91	114.68	108.28	0	0	83.86	62.57	67.65	0	0	76.23	71.82	0	0	0
K00131	120.28	112.86	96.06	116.77	135.37	117.7	177.88	62.16	104.34	94.41	87.83	84.17	49.32	87.18	91.36	0	0	0
K00133	40.15	0	0	0	34.25	34.73	29.42	28.22	64.58	144.68	66.66	0	31.79	27.23	31.42	0	0	0
K00134	1209.1	2334.23	1187.47	68.41	1471.56	80.47	1396.03	49.57	822.92	203.33	175.51	841.64	614.74	1028.9	200.29	0	0	0
K00140	127.05	119.65	77.02	11.12	9.62	12.01	95.44	5.29	10.21	6.62	150	4.44	5.55	6.78	7.99	0	0	0
K00142	4.56	5.99	0	4.97	6.34	5.31	5.39	4.02	4.62	4.85	4.57	5.28	8.23	4.51	5.26	0	0	0
K00145	33.36	35.74	33.99	36.73	63.54	46.2	59.17	48.45	54.8	32.58	34.56	34.87	33	32.29	32.72	0	0	0
K00147	45.4	0	49.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00161	84.78	78.36	73.59	82.94	68.37	66.32	95.67	79.57	102.2	127.26	126.25	77.56	112.71	109.31	100.17	0	0	0
K00162	53.94	50.65	82.27	158.94	110.7	135.05	114.43	134.62	119.22	73.92	76.93	82.16	40.58	68.13	72.85	0	0	0
K00164	0	0	0	0	0	127.63	62.51	0	0	83.33	128.57	73.38	87.57	86.52	85.24	0	0	0
K00166	47.85	0	0	0	24.71	34.58	26.89	0	26.36	0	21.2	0	0	17.28	18.28	0	0	0
K00167	0	60.11	0	74.16	0	56.57	0	0	0	22.38	21.58	22.94	19.5	17.2	23.52	0	0	0
K00207	78.71	77.98	81.14	88.51	88.61	86.97	98.54	120.66	92.51	192.07	209.72	241.2	223.98	223.5	205.86	0	0	0
K00208	42.13	28.74	19.98	35.54	40.07	32.63	15.74	19.83	38.82	13.7	11.99	19.97	13.96	12.59	29.48	0	0	0
K00213	115.38	106.16	107.08	99.58	106.33	112.64	98.37	68.79	72.65	63.71	63.64	53.82	0	52.47	56.05	0	0	0
K00215	78.73	0	68.69	0	82.55	60.02	51.94	48.44	0	0	0	46.31	63.5	0	40.42	0	0	0
K00218	456.22	433.66	447.29	516.41	375.34	512.03	283.18	79.03	132.26	23.21	27.49	21.68	7.35	17.08	29.04	0	0	0
K00222	32.06	27.74	28.38	27.57	29.2	28.65	27.43	26.83	25.52	10.57	24.69	21.96	8.98	12.89	10.17	0	0	0
K00225	70.79	59.76	56.8	146.06	101.9	129.27	104.92	69.89	19.77	17.34	17.45	0	25.12	13.75	16.25	0	0	0
K00227	0	18.97	19.54	20.69	19.47	15.4	11.61	11.76	0	0	5.71	0	3.09	0	6.02	0	0	0
K00228	58.8	56.25	69.26	54.99	51.69	50.84	34.65	21.54	37.34	20.39	0	22.58	11.34	17.11	19.05	0	0	0
K00231	45.82	47.12	43.82	45.03	43.57	42.44	31.3	13.53	23.77	12.46	11.44	10.7	9.33	10.24	10.87	0	0	0
K00232	31.37	15.47	15.06	14.79	62.87	62.11	19.87	52.48	16.38	26.69	82.36	92.67	30.95	24.03	44.24	0	0	0
K00234	232.62	260.78	268.69	150.52	175.72	181.31	157.84	129.76	132.15	496.24	392.83	491.78	212.93	372.61	393.85	0	0	0
K00235	128.13	132.33	124.08	144.14	153.46	157.67	133.8	98.48	88.46	315.8	266.54	333.78	267.75	0	330.54	0	0	0
K00236	0	0	0	217.74	0	0	0	0	0	334.32	0	0	310.44	323.27	326.12	0	0	0
K00249	0	0	35.67	28.68	30.13	0	29.31	0	0	19.88	21.63	0	11.24	15.38	19.42	0	0	0
K00253	0	0	25.26	0	25.44	26.85	23.31	0	0	68.55	62.08	0	0	0	0	0	0	0
K00254	9.47	12.64	10	30.62	7.98	7.72	7.94	6.53	8.11	7.74	6.99	7.5	9.14	8.89	7.83	0	0	0
K00261	21.59	43.91	23.02	17.63	19.68	21.07	25.89	19.04	12.84	17.75	19.41	15.61	16.06	15.73	18.48	0	0	0
K00262	0	37.75	30.86	31.92	32.07	35.56	29.56	25.29	57.8	17.16	19.61	18.85	14.51	15.8	15.39	0	0	0
K00264	38.51	0	0	18.4	42.99	0	0	46.08	30.15	110.1	113.29	103.37	138.79	152.64	134.09	0	0	0
K00266	0	0	93.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00275	0	0	0	0	0	0	28.92	0	21.33	11.84	0	13.4	0	0	0	0	0	0
K00276	82.46	17.94	16.87	55.71	86.38	18.5	85.62	75.7	10.57	26.61	5.58	43.02	6.76	8.17	51.17	0	0	0
K00278	8.08	9.28	8.5	5.55	7.68	5.7	6.9	6.2	7.2	20.34	17.85	22.16	23.33	19.71	16.68	0	0	0
K00279	3.52	4.31	3.43	19.91	15.26	17.67	15.84	5.68	16.11	4.95	4.84	4.92	0	4.69	3.55	0	0	0
